Question,Category,Sub Category
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Is attendance mandatory for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What is criteria to clear the program?,program-related-query,program-clearance-criteria
What is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,program-structure
Can I get the invoice for the program fee paid?,program-related-query,program-fee
Can I get the GST invoice for the program fee paid?,program-related-query,program-fee
What are the pre-requisite sessions and why are they conducted?,pre-requisite-sessions,schedule-and-structure
When do the pre-requisite sessions start?,pre-requisite-sessions,schedule-and-structure
Where can I find the schedule for the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
What topics are covered during the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
Are the pre-requisite sessions live or recorded?,pre-requisite-sessions,schedule-and-structure
Where can I find the recordings of the pre-requisite sessions?,pre-requisite-sessions,schedule-and-structure
